2021-08-19 21:52:38 remove grub-gfxpayload-lists:amd64 0.7 <none>
2021-08-19 21:52:38 status half-configured grub-gfxpayload-lists:amd64 0.7
2021-08-19 21:52:38 status half-installed grub-gfxpayload-lists:amd64 0.7
2021-08-19 21:52:38 status triggers-pending man-db:amd64 2.9.1-1
2021-08-19 21:52:38 status config-files grub-gfxpayload-lists:amd64 0.7
2021-08-19 21:52:38 status not-installed grub-gfxpayload-lists:amd64 <none>
2021-08-19 21:52:38 remove grub-pc:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:38 status half-configured grub-pc:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status half-installed grub-pc:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status config-files grub-pc:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 remove grub2-common:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:38 status half-configured grub2-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status half-installed grub2-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2021-08-19 21:52:38 status config-files grub2-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 remove grub-pc-bin:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:38 status half-configured grub-pc-bin:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status half-installed grub-pc-bin:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status config-files grub-pc-bin:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status not-installed grub-pc-bin:amd64 <none>
2021-08-19 21:52:38 remove grub-common:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:38 status half-configured grub-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status half-installed grub-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status config-files grub-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 startup packages configure
2021-08-19 21:52:38 trigproc install-info:amd64 6.7.0.dfsg.2-5 <none>
2021-08-19 21:52:38 status half-configured install-info:amd64 6.7.0.dfsg.2-5
2021-08-19 21:52:38 status installed install-info:amd64 6.7.0.dfsg.2-5
2021-08-19 21:52:38 trigproc man-db:amd64 2.9.1-1 <none>
2021-08-19 21:52:38 status half-configured man-db:amd64 2.9.1-1
2021-08-19 21:52:38 status installed man-db:amd64 2.9.1-1
2021-08-19 21:52:39 startup packages purge
2021-08-19 21:52:39 purge grub2-common:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:39 status config-files grub2-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:39 status not-installed grub2-common:amd64 <none>
2021-08-19 21:52:39 purge grub-pc:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:39 status config-files grub-pc:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:39 status not-installed grub-pc:amd64 <none>
2021-08-19 21:52:39 purge grub-common:amd64 2.04-1ubuntu26.13 <none>
2021-08-19 21:52:39 status config-files grub-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:39 status triggers-pending systemd:amd64 245.4-4ubuntu3.11
2021-08-19 21:52:39 status not-installed grub-common:amd64 <none>
2021-08-19 21:52:39 startup packages configure
2021-08-19 21:52:39 trigproc systemd:amd64 245.4-4ubuntu3.11 <none>
2021-08-19 21:52:39 status half-configured systemd:amd64 245.4-4ubuntu3.11
2021-08-19 21:52:39 status installed systemd:amd64 245.4-4ubuntu3.11
2021-08-19 22:20:46 startup archives unpack
2021-08-19 22:20:46 install dbus-x11:amd64 <none> 1.12.16-2ubuntu2.1
2021-08-19 22:20:46 status half-installed dbus-x11:amd64 1.12.16-2ubuntu2.1
2021-08-19 22:20:46 status triggers-pending man-db:amd64 2.9.1-1
2021-08-19 22:20:46 status unpacked dbus-x11:amd64 1.12.16-2ubuntu2.1
2021-08-19 22:20:46 install fonts-dejavu-core:all <none> 2.37-1
2021-08-19 22:20:46 status half-installed fonts-dejavu-core:all 2.37-1
2021-08-19 22:20:47 status unpacked fonts-dejavu-core:all 2.37-1
2021-08-19 22:20:47 install fontconfig-config:all <none> 2.13.1-2ubuntu3
2021-08-19 22:20:47 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2021-08-19 22:20:47 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2021-08-19 22:20:47 install libasyncns0:amd64 <none> 0.8-6
